Channel,Longitude,Latitude,Depth (m)
994,-0.22855,39.492,46.744
995,-0.22836,39.492,47.021
996,-0.22816,39.492,47.222
997,-0.22797,39.492,47.323
998,-0.22777,39.492,47.626
999,-0.22758,39.492,47.852
1000,-0.22738,39.492,48.033
1001,-0.22719,39.492,48.235
1002,-0.22699,39.492,48.23
1003,-0.2268,39.492,48.23
1004,-0.2266,39.492,48.532
1005,-0.2264,39.492,48.532
1006,-0.22621,39.492,48.719
1007,-0.22601,39.492,48.835
1008,-0.22582,39.492,48.835
1009,-0.22562,39.492,48.935
1010,-0.22543,39.492,49.137
1011,-0.22523,39.492,49.137
1012,-0.22504,39.492,49.339
1013,-0.22484,39.492,49.439
1014,-0.22465,39.492,49.439
1015,-0.22445,39.492,49.641
1016,-0.22426,39.492,49.742
1017,-0.22406,39.492,49.742
1018,-0.22386,39.492,49.742
1019,-0.22367,39.492,50.044
1020,-0.22347,39.492,50.044
1021,-0.22328,39.492,50.044
1022,-0.22308,39.492,50.044
1023,-0.22289,39.492,50.346
1024,-0.22269,39.492,50.346
1025,-0.2225,39.492,50.346
1026,-0.2223,39.492,50.381
1027,-0.22211,39.492,50.679
1028,-0.22191,39.492,50.648
1029,-0.22171,39.492,50.648
1030,-0.22152,39.492,50.648
1031,-0.22132,39.492,50.648
1032,-0.22113,39.492,50.9
1033,-0.22093,39.492,50.951
1034,-0.22074,39.492,50.951
1035,-0.22054,39.492,50.951
1036,-0.22035,39.492,51.102
1037,-0.22015,39.492,51.203
1038,-0.21996,39.492,51.253
1039,-0.21976,39.492,51.248
1040,-0.21956,39.492,51.253
1041,-0.21937,39.492,51.48
1042,-0.21917,39.492,51.555
1043,-0.21898,39.492,51.555
1044,-0.21878,39.492,51.555
1045,-0.21859,39.492,51.555
1046,-0.21839,39.492,51.606
1047,-0.2182,39.492,51.807
1048,-0.218,39.492,51.858
1049,-0.2178,39.492,51.858
1050,-0.21761,39.492,51.858
1051,-0.21741,39.492,51.858
1052,-0.21722,39.492,51.858
1053,-0.21702,39.492,51.958
1054,-0.21683,39.492,52.059
1055,-0.21663,39.492,51.933
1056,-0.21644,39.492,52.084
1057,-0.21624,39.492,52.16
1058,-0.21604,39.492,52.16
1059,-0.21585,39.492,52.422
1060,-0.21565,39.492,52.487
1061,-0.21546,39.492,52.477
1062,-0.21526,39.492,52.427
1063,-0.21507,39.492,52.235
1064,-0.21487,39.492,52.437
1065,-0.21468,39.492,52.558
1066,-0.21448,39.492,52.765
1067,-0.21428,39.492,52.765
1068,-0.21409,39.491,52.765
1069,-0.21389,39.491,52.765
1070,-0.2137,39.491,52.765
1071,-0.2135,39.491,52.765
1072,-0.21331,39.491,52.756
1073,-0.21311,39.491,52.991
1074,-0.21292,39.491,53.132
1075,-0.21272,39.491,53.072
1076,-0.21253,39.491,53.067
1077,-0.21233,39.491,53.067
1078,-0.21213,39.491,53.114
1079,-0.21194,39.491,52.739
1080,-0.21174,39.491,52.765
1081,-0.21155,39.491,52.765
1082,-0.21135,39.491,53.294
1083,-0.21116,39.491,53.369
1084,-0.21096,39.491,53.369
1085,-0.21077,39.491,53.369
1086,-0.21057,39.491,53.47
1087,-0.21037,39.491,53.369
1088,-0.21018,39.491,53.369
1089,-0.20998,39.491,53.419
1090,-0.20979,39.491,53.369
1091,-0.20959,39.491,53.369
1092,-0.2094,39.491,53.419
1093,-0.2092,39.491,53.671
1094,-0.20901,39.491,53.671
1095,-0.20881,39.491,53.923
1096,-0.20861,39.491,53.974
1097,-0.20842,39.491,53.974
1098,-0.20822,39.491,53.974
1099,-0.20803,39.491,53.974
1100,-0.20783,39.491,53.974
1101,-0.20764,39.491,53.974
1102,-0.20744,39.491,54.175
1103,-0.20725,39.491,54.276
1104,-0.20705,39.491,54.271
1105,-0.20686,39.491,54.281
1106,-0.20666,39.491,54.168
1107,-0.20647,39.491,53.974
1108,-0.20627,39.491,53.974
1109,-0.20608,39.491,53.999
1110,-0.20588,39.491,54.377
1111,-0.20568,39.491,54.629
1112,-0.20549,39.491,54.587
1113,-0.20529,39.491,54.578
1114,-0.2051,39.491,54.578
1115,-0.2049,39.491,54.654
1116,-0.20471,39.491,54.881
1117,-0.20451,39.491,54.881
1118,-0.20432,39.491,54.855
1119,-0.20412,39.491,54.629
1120,-0.20393,39.491,54.729
1121,-0.20373,39.491,54.881
1122,-0.20354,39.491,54.881
1123,-0.20334,39.491,55.057
1124,-0.20314,39.491,55.082
1125,-0.20295,39.491,55.183
1126,-0.20275,39.491,55.183
1127,-0.20256,39.491,55.183
1128,-0.20236,39.491,55.183
1129,-0.20217,39.491,55.284
1130,-0.20197,39.491,55.485
1131,-0.20178,39.491,55.485
1132,-0.20158,39.491,55.485
1133,-0.20139,39.491,55.485
1134,-0.20119,39.491,55.485
1135,-0.20099,39.491,55.485
1136,-0.2008,39.491,55.485
1137,-0.2006,39.491,55.485
1138,-0.20041,39.491,55.787
1139,-0.20021,39.491,55.687
1140,-0.20002,39.491,55.787
1141,-0.19982,39.491,55.787
1142,-0.19963,39.491,55.787
1143,-0.19943,39.491,55.787
1144,-0.19924,39.491,55.787
1145,-0.19904,39.491,55.964
1146,-0.19884,39.491,56.09
1147,-0.19865,39.491,56.095
1148,-0.19845,39.491,56.09
1149,-0.19826,39.491,56.09
1150,-0.19806,39.491,56.09
1151,-0.19787,39.491,56.342
1152,-0.19767,39.491,56.392
1153,-0.19748,39.491,56.392
1154,-0.19728,39.491,56.392
1155,-0.19708,39.491,56.528
1156,-0.19689,39.491,56.694
1157,-0.19669,39.491,56.694
1158,-0.1965,39.491,56.694
1159,-0.1963,39.491,56.694
1160,-0.19611,39.491,56.694
1161,-0.19591,39.491,56.694
1162,-0.19572,39.491,56.694
1163,-0.19552,39.491,56.997
1164,-0.19532,39.491,56.997
1165,-0.19513,39.491,56.997
1166,-0.19493,39.491,56.997
1167,-0.19474,39.491,56.946
1168,-0.19454,39.491,57.299
1169,-0.19435,39.491,57.299
1170,-0.19415,39.491,57.299
1171,-0.19396,39.491,57.299
1172,-0.19376,39.491,57.299
1173,-0.19356,39.491,57.269
1174,-0.19337,39.491,56.997
1175,-0.19317,39.491,56.997
1176,-0.19298,39.491,57.173
1177,-0.19278,39.491,57.4
1178,-0.19259,39.491,57.601
1179,-0.19239,39.491,57.601
1180,-0.1922,39.491,57.601
1181,-0.192,39.491,57.601
1182,-0.19181,39.491,57.601
1183,-0.19161,39.491,57.601
1184,-0.19142,39.491,57.677
1185,-0.19122,39.491,57.904
1186,-0.19102,39.491,58.105
1187,-0.19083,39.491,58.206
1188,-0.19063,39.491,58.206
1189,-0.19044,39.491,58.105
1190,-0.19024,39.491,58.14
1191,-0.19005,39.491,57.904
1192,-0.18985,39.491,58.333
1193,-0.18966,39.491,58.508
1194,-0.18946,39.491,58.508
1195,-0.18926,39.491,58.508
1196,-0.18907,39.491,58.508
1197,-0.18887,39.491,58.76
1198,-0.18868,39.491,58.81
1199,-0.18848,39.491,58.81
1200,-0.18829,39.491,58.81
1201,-0.18809,39.491,58.911
1202,-0.1879,39.491,59.113
1203,-0.1877,39.491,59.113
1204,-0.18751,39.491,59.113
1205,-0.18731,39.491,59.113
1206,-0.18711,39.491,59.113
1207,-0.18692,39.491,59.113
1208,-0.18672,39.491,59.314
1209,-0.18653,39.491,59.415
1210,-0.18633,39.491,59.415
1211,-0.18614,39.491,59.415
1212,-0.18594,39.491,59.591
1213,-0.18575,39.491,59.717
1214,-0.18555,39.491,59.717
1215,-0.18535,39.491,59.717
1216,-0.18516,39.491,59.717
1217,-0.18496,39.491,59.717
1218,-0.18477,39.491,59.717
1219,-0.18457,39.491,59.717
1220,-0.18438,39.491,59.919
1221,-0.18418,39.491,60.02
1222,-0.18399,39.491,60.02
1223,-0.18379,39.491,60.02
1224,-0.18359,39.491,60.02
1225,-0.1834,39.491,60.156
1226,-0.1832,39.491,60.297
1227,-0.18301,39.491,60.322
1228,-0.18281,39.491,60.322
1229,-0.18262,39.491,60.322
1230,-0.18242,39.491,60.372
1231,-0.18222,39.491,60.624
1232,-0.18203,39.491,60.624
1233,-0.18183,39.491,60.649
1234,-0.18164,39.491,60.624
1235,-0.18144,39.491,60.725
1236,-0.18125,39.491,60.926
1237,-0.18105,39.491,60.926
1238,-0.18086,39.491,60.926
1239,-0.18066,39.491,60.926
1240,-0.18046,39.491,60.952
1241,-0.18027,39.491,61.143
1242,-0.18008,39.491,61.229
1243,-0.17988,39.491,61.229
1244,-0.17969,39.49,61.241
1245,-0.17949,39.49,61.372
1246,-0.1793,39.49,61.536
1247,-0.1791,39.49,61.531
1248,-0.1789,39.49,61.531
1249,-0.17871,39.49,61.531
1250,-0.17851,39.49,61.556
1251,-0.17832,39.49,61.833
1252,-0.17812,39.49,61.833
1253,-0.17793,39.49,61.833
1254,-0.17773,39.49,61.833
1255,-0.17754,39.49,61.833
1256,-0.17734,39.49,61.833
1257,-0.17715,39.49,62.141
1258,-0.17695,39.49,62.136
1259,-0.17676,39.49,62.136
1260,-0.17656,39.49,62.11
1261,-0.17636,39.49,62.136
1262,-0.17617,39.49,62.287
1263,-0.17597,39.49,62.438
1264,-0.17578,39.49,62.438
1265,-0.17558,39.49,62.438
1266,-0.17539,39.49,62.589
1267,-0.17519,39.49,62.715
1268,-0.175,39.49,62.74
1269,-0.1748,39.49,62.74
1270,-0.17461,39.49,62.74
1271,-0.17441,39.49,62.881
1272,-0.17421,39.49,63.043
1273,-0.17402,39.49,63.043
1274,-0.17382,39.49,63.043
1275,-0.17363,39.49,63.043
1276,-0.17343,39.49,63.179
1277,-0.17324,39.49,63.345
1278,-0.17304,39.49,63.345
1279,-0.17285,39.49,63.345
1280,-0.17265,39.49,63.345
1281,-0.17246,39.49,63.471
1282,-0.17226,39.49,63.647
1283,-0.17206,39.49,63.647
1284,-0.17187,39.49,63.647
1285,-0.17167,39.49,63.647
1286,-0.17148,39.49,63.849
1287,-0.17128,39.49,63.949
1288,-0.17109,39.49,63.965
1289,-0.17089,39.49,63.949
1290,-0.1707,39.49,63.949
1291,-0.1705,39.49,64.075
1292,-0.17031,39.49,64.252
1293,-0.17011,39.49,64.252
1294,-0.16991,39.49,64.252
1295,-0.16972,39.49,64.252
1296,-0.16952,39.49,64.438
1297,-0.16933,39.49,64.554
1298,-0.16913,39.49,63.991
1299,-0.16894,39.49,64.453
1300,-0.16874,39.49,64.554
1301,-0.16855,39.49,64.781
1302,-0.16835,39.49,64.856
1303,-0.16816,39.49,64.856
1304,-0.16796,39.49,64.856
1305,-0.16776,39.49,64.856
1306,-0.16757,39.49,65.058
1307,-0.16737,39.49,65.159
1308,-0.16718,39.49,65.159
1309,-0.16698,39.49,65.159
1310,-0.16679,39.49,65.159
1311,-0.16659,39.49,65.209
1312,-0.1664,39.49,65.36
1313,-0.1662,39.49,65.461
1314,-0.166,39.49,65.461
1315,-0.16581,39.49,65.452
1316,-0.16561,39.49,65.637
1317,-0.16542,39.49,65.763
1318,-0.16522,39.49,65.763
1319,-0.16503,39.49,65.763
1320,-0.16483,39.49,65.763
1321,-0.16464,39.49,65.889
1322,-0.16444,39.49,66.065
1323,-0.16424,39.49,66.065
1324,-0.16405,39.49,66.065
1325,-0.16385,39.49,66.065
1326,-0.16366,39.49,66.065
1327,-0.16346,39.49,66.343
1328,-0.16327,39.49,66.343
1329,-0.16307,39.49,66.368
1330,-0.16288,39.49,66.368
1331,-0.16268,39.49,66.368
1332,-0.16249,39.49,66.368
1333,-0.16229,39.49,66.67
1334,-0.16209,39.49,66.67
1335,-0.1619,39.49,66.67
1336,-0.1617,39.49,66.569
1337,-0.16151,39.49,66.922
1338,-0.16131,39.49,66.972
1339,-0.16112,39.49,66.972
1340,-0.16092,39.49,66.972
1341,-0.16073,39.49,66.972
1342,-0.16053,39.49,66.972
1343,-0.16034,39.49,67.003
1344,-0.16014,39.49,67.275
1345,-0.15994,39.49,67.275
1346,-0.15975,39.49,67.275
1347,-0.15955,39.49,67.476
1348,-0.15936,39.49,67.577
1349,-0.15916,39.49,67.577
1350,-0.15897,39.49,67.577
1351,-0.15877,39.49,67.577
1352,-0.15858,39.49,67.577
1353,-0.15838,39.49,67.577
1354,-0.15818,39.49,67.703
